"0","1","2","3","4","5","6","7","8"
"STIQ Miftahul Huda Rawalo Banyumas Jawa Tengah","Ilmu Al-Qur'an Dan Tafsir","S1","","7738/SK/BAN-PT/Akred/S/XI/2020","2020","C","2025-11-24","Masih berlaku"
"Universitas Muhammadiyah Sinjai","Agroteknologi","S1","09","7730/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-24","Masih berlaku"
"Universitas Samudra","Pendidikan Bahasa Indonesia","S1","","7689/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-24","Masih berlaku"
"Universitas Islam Negeri Raden Intan Lampung","Pendidikan Biologi","S1","","7665/SK/BAN-PT/Akred/S/XI/2020","2020","A","2025-11-24","Masih berlaku"
"Sekolah Tinggi Agama Kristen Arastamar Grimenawa Jayapura","Pendidikan Agama Kristen","S1","","7754/SK/BAN-PT/Akred/S/XI/2020","2020","C","2025-11-24","Masih berlaku"
"Universitas Wiraswasta Indonesia","Manajemen","S1","03","7763/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-24","Masih berlaku"
"STAI Yayasan Nurul Islam (YASNI) Muara Bungo","Pendidikan Islam Anak Usia Dini (PIAUD)","S1","","7718/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-24","Masih berlaku"
"Sekolah Tinggi Ilmu Teknik Bina Putra","Teknik Sipil","S1","04","7752/SK/BAN-PT/Akred/S/XI/2020","2020","C","2025-11-24","Masih berlaku"
"Akademi Ilmu Komputer Ternate","Teknik Komputer","D-III","12","7739/SK/BAN-PT/Akred/Dipl-III/XI/2020","2020","C","2025-11-24","Masih berlaku"
"STAI An-Nadwah Kuala Tungkal, Jambi","Pendidikan Agama Islam","S1","","7733/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-24","Masih berlaku"
"Institut Pesantren KH. Abdul Chalim Pacet Mojokerto","Pendidikan Agama Islam","S1","","7683/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-24","Masih berlaku"
"Politeknik Kelautan Dan Perikanan Sidoarjo","Teknik Budidaya Perikanan","D-III","","7674/SK/BAN-PT/Akred/Dipl-III/XI/2020","2020","Baik Sekali","2025-11-24","Masih berlaku"
"Universitas Gunung Rinjani","Pemanfaatan Sumber Daya Perikanan","S1","08","7740/SK/BAN-PT/Akred/S/XI/2020","2020","Baik","2025-11-24","Masih berlaku"
"Institut Pertanian Bogor","Manajemen Agribisnis","D-III","","7761/SK/BAN-PT/Akred/Dipl-III/XI/2020","2020","Baik Sekali","2025-11-24","Masih berlaku"
"Sekolah Tinggi Ilmu Ekonomi Rajawali","Akuntansi","S1","06","7751/SK/BAN-PT/Akred/S/XI/2020","2020","Baik","2025-11-24","Masih berlaku"
"Universitas Hang Tuah","Permesinan Kapal","D-III","07","7704/SK/BAN-PT/Akred/Dipl-III/XI/2020","2020","Baik Sekali","2025-11-24","Masih berlaku"
"Universitas Nahdlatul Ulama Lampung","Sistem Informasi","S1","02","7762/SK/BAN-PT/Akred/S/XI/2020","2020","Baik","2025-11-24","Masih berlaku"
"Universitas Nurul Jadid","Perbankan Syariah","S1","07","7755/SK/BAN-PT/Akred/S/XI/2020","2020","Baik","2025-11-24","Masih berlaku"
"Universitas Islam Negeri Sultan Syarif Kasim","Pendidikan Ekonomi","S1","","7731/SK/BAN-PT/Akred/S/XI/2020","2020","Baik Sekali","2025-11-24","Masih berlaku"
"Institut Pemerintahan Dalam Negeri","Politik Pemerintahan","D-IV","","7688/SK/BAN-PT/Akred/ST/XI/2020","2020","Baik Sekali","2025-11-24","Masih berlaku"
"Universitas Tomakaka","Agrobisnis Perikanan","S1","09","7742/SK/BAN-PT/Akred/S/XI/2020","2020","Baik","2025-11-24","Masih berlaku"
"Universitas Islam Kadiri","Manajemen","S2","07","7767/SK/BAN-PT/Ak-PPJ/M/XI/2020","2020","B","2025-08-08","Masih berlaku"
"Universitas Islam Bandung","Ilmu Hukum","S2","04","7768/SK/BAN-PT/Ak-PPJ/M/XI/2020","2020","A","2025-08-16","Masih berlaku"
"Universitas Jayabaya","Ilmu Komunikasi","S2","03","7770/SK/BAN-PT/Ak-PPJ/M/XI/2020","2020","B","2025-08-16","Masih berlaku"
"Universitas Airlangga","Psikologi Profesi","S2","","7771/SK/BAN-PT/Ak-PPJ/M/XI/2020","2020","A","2025-09-04","Masih berlaku"
"Universitas Udayana","Ilmu Hukum","S1","","7769/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","A","2025-09-04","Masih berlaku"
"Universitas Muslim Maros","Manajemen","S1","09","7719/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-09-04","Masih berlaku"
"Universitas Negeri Padang","Pendidikan Biologi","S2","","7773/SK/BAN-PT/Ak-PPJ/M/XI/2020","2020","B","2025-09-04","Masih berlaku"
"Universitas Teknologi Yogyakarta","Manajemen","S1","05","7766/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","A","2025-09-04","Masih berlaku"
"Institut Agama Islam An Nur Lampung","Pendidikan Agama Islam","S1","","7726/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-11-01","Masih berlaku"
"Institut Agama Islam Bakti Negara Tegal","Hukum Keluarga Islam (Ahwal Al Syakhshiyah)","S1","","7703/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-11-01","Masih berlaku"
"Universitas PGRI Adi Buana","Pendidikan Bahasa Inggris (Kampus Blitar)","S1","07","7702/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-11-01","Masih berlaku"
"Universitas Muhammadiyah Pringsewu","Bimbingan Dan Konseling","S1","02","7701/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-11-08","Masih berlaku"
"Institut Teknologi Nasional Malang","Teknik Sipil","S1","07","7705/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-11-15","Masih berlaku"
"Institut Teknologi Bandung","Pengelolaan Infrastruktur Air Bersih Dan Sanitasi","S2","","13613/SK/BAN-PT/Ak-PPJ/M/XII/2021","2021","Unggul","2026-12-28","Masih berlaku"
"Universitas Teknokrat Indonesia","Informatika","S1","02","7709/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-11-15","Masih berlaku"
"STT Sriwijaya Palembang","Kependetaan","S1","","7520/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","C","2025-11-15","Masih berlaku"
"Sekolah Tinggi Teologi Sumatera Utara","Teologi","S2","","7735/SK/BAN-PT/Ak-PPJ/M/XI/2020","2020","C","2025-11-15","Masih berlaku"
"Universitas Respati Yogyakarta","Informatika","S1","05","7695/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-11-15","Masih berlaku"
"Universitas PGRI Adi Buana","Pendidikan Bahasa Inggris","S1","07","7680/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-11-21","Masih berlaku"
"Universitas Muhammadiyah Tangerang","Pendidikan Matematika","S1","04","7716/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-11-21","Masih berlaku"
"Universitas Ottow Geissler","Kehutanan","S1","14","7748/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","C","2025-11-21","Masih berlaku"
"Universitas Islam Negeri Sunan Ampel Surabaya","Ilmu Hadist","S2","","7673/SK/BAN-PT/Ak-PPJ/M/XI/2020","2020","B","2025-11-21","Masih berlaku"
"Universitas Negeri Jakarta","Pendidikan Bahasa Jerman","S1","","7685/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-11-21","Masih berlaku"
"Universitas Budi Luhur","Manajemen Informatika","D-III","03","7708/SK/BAN-PT/Ak-PPJ/Dipl-III/XI/2020","2020","B","2025-11-21","Masih berlaku"
"Universitas Katolik Indonesia Atma Jaya","Ilmu Pendidikan Teologi","S1","03","7676/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-11-21","Masih berlaku"
"Universitas Muhammadiyah Magelang","Teknik Industri","S1","06","7729/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-11-21","Masih berlaku"
"Universitas Pasir Pengaraian Pekanbaru","Pendidikan Bahasa Inggris","S1","10","7672/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-11-21","Masih berlaku"
"Universitas Muhammadiyah Pare-Pare","Pendidikan Bahasa Inggris","S1","09","7691/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-11-21","Masih berlaku"
"Universitas Bina Sarana Informatika","Sastra Inggris","S1","03","7715/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-11-21","Masih berlaku"
"Sekolah Tinggi Pariwisata Ampta Yogyakarta","Usaha Perjalanan Wisata","D-IV","05","7605/SK/BAN-PT/Ak-PNB/ST/XI/2020","2020","B","2024-04-30","Masih berlaku"
"STAI Al-Yasini Pasuruan","Hukum Ekonomi Syariah/Muamalat","S1","","7608/SK/BAN-PT/Ak-PNB/S/XI/2020","2020","C","2024-11-19","Masih berlaku"
"Universitas Mitra Indonesia","Informatika","S1","02","7607/SK/BAN-PT/Ak-PNB/S/XI/2020","2020","B","2023-06-26","Masih berlaku"
"Universitas Hasyim Asy'ari Tebuireng Jombang","Pendidikan Agama Islam","S1","07","7699/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","B","2025-11-01","Masih berlaku"
"Sekolah Tinggi Agama Kristen Teruna Bhakti","Teologi","S3","","7615/SK/BAN-PT/Ak-PKP/D/XI/2020","2020","C","2025-11-24","Masih berlaku"
"STIT Palapa Nusantara Lombok Nusa Tenggara Barat","Pendidikan Agama Islam","S1","","7803/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-25","Masih berlaku"
"Sekolah Tinggi Ilmu Ekonomi Yapi Bone","Manajemen","S1","09","7805/SK/BAN-PT/Akred/S/XI/2020","2020","C","2025-11-25","Masih berlaku"
"Sekolah Tinggi Teknologi Bina Tunggal","Teknik Mesin","S1","04","7811/SK/BAN-PT/Akred/S/XI/2020","2020","C","2025-11-25","Masih berlaku"
"Universitas Sultan Ageng Tirtayasa","Teknik Elektro","S1","","7792/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-25","Masih berlaku"
"STAIN Bengkalis","Manajemen Pendidikan Islam","S1","","7801/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-25","Masih berlaku"
"Sekolah Tinggi Agama Islam Indonesia Jakarta","Perbankan Syariah","S1","","7807/SK/BAN-PT/Akred/S/XI/2020","2020","C","2025-11-25","Masih berlaku"
"Universitas Islam Negeri Ar-Raniry Banda Aceh","Teknik Lingkungan","S1","","7791/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-25","Masih berlaku"
"Institut Agama Islam Darul Da'wah Wal Irsyad Polewali Mandar","Hukum Tatanegara (Siyasah)","S1","","7810/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-25","Masih berlaku"
"Institut Agama Islam Darullughah Wadda'wah Bangil, Pasuruan","Komunikasi Dan Penyiaran Islam","S1","","7798/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-25","Masih berlaku"
"Universitas Muhammadiyah Prof Dr Hamka","Pendidikan Biologi","S1","03","7788/SK/BAN-PT/Akred/S/XI/2020","2020","A","2025-11-25","Masih berlaku"
"Universitas PGRI Semarang","Arsitektur","S1","06","7799/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-25","Masih berlaku"
"Universitas Billfath","Pendidikan Kimia","S1","07","7806/SK/BAN-PT/Akred/S/XI/2020","2020","C","2025-11-25","Masih berlaku"
"Universitas Sriwijaya","Pendidikan Bahasa Dan Sastra Indonesia","S1","","7786/SK/BAN-PT/Akred/S/XI/2020","2020","A","2025-11-25","Masih berlaku"
"Institut Agama Islam Uluwiyah Mojokerto","Pendidikan Islam Anak Usia Dini","S1","","7804/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-25","Masih berlaku"
"Universitas Sriwijaya","Ilmu Ekonomi","S3","","7812/SK/BAN-PT/Akred/D/XI/2020","2020","B","2025-11-25","Masih berlaku"
"Sekolah Tinggi Ilmu Administrasi Puangrimaggalatung","Ilmu Administrasi","S2","09","7800/SK/BAN-PT/Akred/M/XI/2020","2020","B","2025-11-25","Masih berlaku"
"Institut Agama Islam Negeri Kerinci","Tadris Bahasa Inggris","S1","","7794/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-25","Masih berlaku"
"Universitas Negeri Manado","Pendidikan Sosiologi","S1","","7789/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-25","Masih berlaku"
"Universitas Muhammadiyah Palembang","Akuakultur","S1","02","7790/SK/BAN-PT/Akred/S/XI/2020","2020","A","2025-11-25","Masih berlaku"
"STEBI Global Mulia Cikarang","Perbankan Syariah","S1","","7802/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-25","Masih berlaku"
"Universitas Islam Negeri Sunan Gunung Djati","Pendidikan Biologi","S1","","7793/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-25","Masih berlaku"
"Universitas Maritim Raja Ali Haji (UMRAH)","Pendidikan Bahasa Inggris","S1","","7797/SK/BAN-PT/Akred/S/XI/2020","2020","B","2025-11-25","Masih berlaku"
"STKIP PGRI Bangkalan","Pendidikan Ekonomi","S1","07","7795/SK/BAN-PT/Akred/S/XI/2020","2020","Baik Sekali","2025-11-25","Masih berlaku"
"Sekolah Tinggi Teologi Tabernakel Kemuliaan-Nya","Teologi","S1","","7814/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","C","2025-09-13","Masih berlaku"
"Universitas Gunadarma","Teknologi Informasi","S3","03","7787/SK/BAN-PT/Ak-PPJ/D/XI/2020","2020","A","2025-11-15","Masih berlaku"
"Universitas Pembangunan Nasional Veteran Jakarta","Manajemen Informatika","D-III","","1151/SK/BAN-PT/Ak-PPJ/Dipl-III/III/2021","2021","B","2026-02-27","Masih berlaku"
"Institut Manajemen Wiyata Indonesia","Akuntansi","S1","04","1163/SK/BAN-PT/Akred/S/III/2021","2021","Baik","2026-03-02","Masih berlaku"
"Universitas Mohammad Natsir Bukittinggi","Administrasi Negara","S1","10","1191/SK/BAN-PT/Akred/S/III/2021","2021","Baik","2026-03-02","Masih berlaku"
"Universitas Halu Oleo","Pendidikan Ekonomi","S1","","1132/SK/BAN-PT/Akred/S/III/2021","2021","Baik Sekali","2026-03-02","Masih berlaku"
"Sekolah Tinggi Ilmu Administrasi Saumlaki","Ilmu Administrasi Negara","S1","12","1183/SK/BAN-PT/Akred/S/III/2021","2021","Baik","2026-03-02","Masih berlaku"
"Universitas Teknologi Sumbawa","Teknik Elektro","S1","08","1169/SK/BAN-PT/Akred/S/III/2021","2021","Baik","2026-03-02","Masih berlaku"
"Institut Agama Islam Negeri Kediri","Tadris Matematika","S1","","1175/SK/BAN-PT/Akred/S/III/2021","2021","Baik","2026-03-02","Masih berlaku"
"Politeknik Elbajo Commodus","Perhotelan","D-III","15","1195/SK/BAN-PT/Akred/Dipl-III/III/2021","2021","Baik","2026-03-02","Masih berlaku"
"Institut Agama Islam Negeri ParePare","Tadris Matematika","S1","","1192/SK/BAN-PT/Akred/S/III/2021","2021","Baik","2026-03-02","Masih berlaku"
"Universitas Negeri Medan","Pendidikan Ilmu Pengetahuan Alam","S1","","1172/SK/BAN-PT/Akred/S/III/2021","2021","Baik","2026-03-02","Masih berlaku"
"Universitas Tamansiswa","Agribisnis","S1","10","1186/SK/BAN-PT/Akred/S/III/2021","2021","Baik","2026-03-02","Masih berlaku"
"Universitas Islam Makassar","Ekonomi Syariah","S1","09","1184/SK/BAN-PT/Akred/S/III/2021","2021","Baik","2026-03-02","Masih berlaku"
"Universitas Palangka Raya","Pendidikan Luar Sekolah","S1","","1214/SK/BAN-PT/Ak-PPJ/S/III/2021","2021","B","2025-11-15","Masih berlaku"
"Sekolah Tinggi Agama Islam Muhammadiyah Klaten","Pendidikan Agama Islam","S1","","1210/SK/BAN-PT/Ak-PPJ/S/III/2021","2021","B","2025-11-21","Masih berlaku"
"Sekolah Tinggi Teologi Gereja Injili Di Indonesia","Teologi","S1","","1215/SK/BAN-PT/Ak-PPJ/S/III/2021","2021","C","2025-11-21","Masih berlaku"
"Universitas Dr. Soetomo","Ilmu Hukum","S2","07","1209/SK/BAN-PT/Ak-PPJ/M/III/2021","2021","B","2025-12-30","Masih berlaku"
"Universitas Padjadjaran","Ilmu Manajemen","S3","","1211/SK/BAN-PT/Ak-PPJ/D/III/2021","2021","B","2026-01-12","Masih berlaku"
"Universitas Darma Persada","Teknik Energi Terbarukan","S2","03","1212/SK/BAN-PT/Ak-PPJ/M/III/2021","2021","C","2026-01-22","Masih berlaku"
"Universitas Gadjah Mada","Kesehatan Hewan","D-III","","1122/SK/BAN-PT/Ak-PPJ/Dipl-III/III/2021","2021","A","2026-01-30","Masih berlaku"
"IAIN Salatiga","Psikologi Islam","S1","","7908/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"IAIN Syekh Nurjati Cirebon","Manajemen Pendidikan Islam","S1","","7866/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Riau Kepulauan","Bimbingan Konseling","S1","10","7900/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Sekolah Tinggi Ilmu Ekonomi Dan Bisnis Islam Lampung","Perbankan Syariah","S1","","7920/SK/BAN-PT/Akred/S/XII/2020","2020","C","2025-12-01","Masih berlaku"
"Sekolah Tinggi Ilmu Ekonomi Dan Bisnis Islam Lampung","Ekonomi Syariah","S1","","7934/SK/BAN-PT/Akred/S/XII/2020","2020","C","2025-12-01","Masih berlaku"
"Universitas Islam Negeri Sultan Syarif Kasim","Teknik Informatika","S1","","7869/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Sekolah Tinggi Ilmu Syari`ah Miftahul Ulum Lumajang","Hukum Keluarga Islam (Ahwal Syakhshiyyah)","S1","","7876/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Institut Agama Islam Banten","Pendidikan Agama Islam","S1","","7864/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Institut Pesantren KH. Abdul Chalim Pacet Mojokerto","Perbankan Syariah","S1","","7924/SK/BAN-PT/Akred/S/XII/2020","2020","C","2025-12-01","Masih berlaku"
"Universitas Yapis Papua","Sistem Informasi","S1","14","7966/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Panji Sakti Singaraja","Bimbingan Dan Konseling","S1","08","7976/SK/BAN-PT/Akred/S/XII/2020","2020","C","2025-11-26","Masih berlaku"
"Institut Kristen Borneo","Teologi (Akademik)","S2","","7954/SK/BAN-PT/Akred/M/XII/2020","2020","C","2025-12-01","Masih berlaku"
"STAIN Gajah Putih Takengon Aceh Tengah","Manajemen Pendidikan Islam","S1","","7895/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Islam Negeri Sunan Ampel","Arsitektur","S1","","7870/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Institut Parahikma Indonesia, Gowa Sulawesi Selatan","Ekonomi Syariah","S1","","7942/SK/BAN-PT/Akred/S/XII/2020","2020","C","2025-12-01","Masih berlaku"
"Universitas Islam Negeri Alauddin","Sistem Informasi","S1","","7872/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"STAI Hikmatul Fadhilah Medan, Sumatera Utara","Pendidikan Guru Madrasah Ibtidaiyah","S1","","7912/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Sekolah Tinggi Pesantren Darunna'im Lebak Banten","Pendidikan Agama Islam","S1","","7915/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Airlangga","Matematika Dan Ilmu Pengetahuan Alam","S3","","7853/SK/BAN-PT/Akred/D/XII/2020","2020","A","2025-12-01","Masih berlaku"
"Sekolah Tinggi Teologi Arastamar Mamasa","Pendidikan Agama Kristen","S1","","7957/SK/BAN-PT/Akred/S/XII/2020","2020","C","2025-12-01","Masih berlaku"
"Sekolah Tinggi Agama Islam Indonesia Jakarta","Pendidikan Agama Islam","S1","","7977/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-11-19","Masih berlaku"
"Politeknik Kota Malang","Teknik Informatika","D-III","07","7882/SK/BAN-PT/Akred/Dipl-III/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Politeknik Kota Malang","Teknik Mekatronika","D-III","07","7875/SK/BAN-PT/Akred/Dipl-III/XII/2020","2020","B","2025-12-01","Masih berlaku"
"STAI UISU, Pematang Siantar, Sumatera Utara","Komunikasi Dan Penyiaran Islam","S1","","7917/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Islam Negeri Ar-Raniry Banda Aceh","Manajemen Dakwah","S1","","7857/SK/BAN-PT/Akred/S/XII/2020","2020","A","2025-12-01","Masih berlaku"
"Akademi Komunitas Manajemen Perhotelan Indonesia","Tata Boga","D-I","08","7879/SK/BAN-PT/Akred/Dipl-I/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Institut Seni Budaya Indonesia Bandung","Penciptaan Dan Pengkajian Seni","S2","","7860/SK/BAN-PT/Akred/M/XII/2020","2020","B","2025-12-01","Masih berlaku"
"IAIN Jember","Bahasa Dan Sastra Arab","S1","","7910/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"IAIN Langsa","Ilmu Hadis","S1","","7902/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Islam Negeri Sultan Maulana Hasanuddin Banten","Komunikasi Dan Penyiaran Islam","S1","","7848/SK/BAN-PT/Akred/S/XII/2020","2020","A","2025-12-01","Masih berlaku"
"Sekolah Tinggi Teologi Injili Abdi Allah","Pendidikan Agama Kristen","S1","","7881/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Muhammadiyah Lampung","Ekonomi Syariah","S1","02","7891/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Sekolah Tinggi Ilmu Tarbiyah Al- Kifayah Riau","Pendidikan Islam Anak Usia Dini","S1","","7929/SK/BAN-PT/Akred/S/XII/2020","2020","C","2025-12-01","Masih berlaku"
"Institut Agama Islam Negeri Bone","Ilmu Al-Qur'an Dan Tafsir","S1","","7861/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"STAI Al-Khairat Pamekasan","Perbankan Syariah","S1","","7941/SK/BAN-PT/Akred/S/XII/2020","2020","C","2025-12-01","Masih berlaku"
"Institut Agama Islam Sunan Giri Bojonegoro","Hukum Ekonomi Syariah (Muamalah)","S1","","7851/SK/BAN-PT/Akred/S/XII/2020","2020","A","2025-12-01","Masih berlaku"
"Universitas KH. A. Wahab Hasbullah","Ekonomi Syariah","S1","07","7883/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Putera Batam","Ilmu Hukum","S1","10","7905/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"STAI Sangatta","Manajemen Pendidikan Islam","S1","","7958/SK/BAN-PT/Akred/S/XII/2020","2020","C","2025-12-01","Masih berlaku"
"Universitas Negeri Makassar","Psikologi","S1","","7850/SK/BAN-PT/Akred/S/XII/2020","2020","A","2025-12-01","Masih berlaku"
"Universitas Islam Negeri Sumatera Utara Medan","Pendidikan Matematika","S1","","7880/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Negeri Medan","Teknik Elektro","S1","","7918/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"STMIK Dumai","Sistem Informasi","S1","10","7965/SK/BAN-PT/Akred/S/XII/2020","2020","C","2025-12-01","Masih berlaku"
"Universitas Qamarul Huda Badaruddin Bagu","Pendidikan Bahasa Dan Sastra Indonesia","S1","08","7901/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"IAIN Langsa","Hukum Keluarga Islam (Ahwal Al-syakhshiyyah)","S2","","7892/SK/BAN-PT/Akred/M/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Halu Oleo","Kimia","S2","","7873/SK/BAN-PT/Akred/M/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Pendidikan Ganesha","Pendidikan Kesejahteraan Keluarga","S1","","7847/SK/BAN-PT/Akred/S/XII/2020","2020","A","2025-12-01","Masih berlaku"
"Sekolah Tinggi Ilmu Ekonomi Wira Bhakti","Manajemen","S1","09","7904/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Islam Negeri Walisongo Semarang","Kimia","S1","","7884/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Syiah Kuala","ILMU PEMERINTAHAN","S1","","7903/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Lambung Mangkurat","Manajemen","S2","","7849/SK/BAN-PT/Akred/M/XII/2020","2020","A","2025-12-01","Masih berlaku"
"Universitas Tanjungpura","Teknik Elektro","S1","","7863/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Ahmad Dahlan","Manajemen","S1","05","7845/SK/BAN-PT/Akred/S/XII/2020","2020","A","2025-12-01","Masih berlaku"
"Universitas Islam Negeri Sunan Kalijaga","Pendidikan Agama Islam","S3","","7897/SK/BAN-PT/Akred/D/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Gunung Rinjani","Pendidikan Akuntansi","S1","08","7967/SK/BAN-PT/Akred/S/XII/2020","2020","C","2025-12-01","Masih berlaku"
"Universitas Prisma","Ilmu Hukum","S1","16","7956/SK/BAN-PT/Akred/S/XII/2020","2020","C","2025-12-01","Masih berlaku"
"STMIK Primakara","Sistem Informasi Akuntansi","S1","08","7858/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Negeri Manado","Pendidikan Bahasa Inggris","S1","","7852/SK/BAN-PT/Akred/S/XII/2020","2020","A","2025-12-01","Masih berlaku"
"Universitas Samudra","Matematika","S1","","7890/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
"Universitas Samudra","Fisika","S1","","7964/SK/BAN-PT/Akred/S/XII/2020","2020","C","2025-12-01","Masih berlaku"
"Institut Sains Dan Teknologi Td Pardede","Desain Interior","D-III","01","7946/SK/BAN-PT/Akred/Dipl-III/XII/2020","2020","C","2025-12-01","Masih berlaku"
"Institut Agama Kristen Negeri Tarutung","Pendidikan Agama Kristen","S2","","7940/SK/BAN-PT/Akred/M/XII/2020","2020","C","2025-12-01","Masih berlaku"
"STAI DDI Majene","Pendidikan Guru Madrasah Ibtidaiyah","S1","","7953/SK/BAN-PT/Akred/S/XII/2020","2020","C","2025-12-01","Masih berlaku"
"Universitas Ahmad Dahlan","Pendidikan Agama Islam","S2","05","7854/SK/BAN-PT/Akred/M/XII/2020","2020","A","2025-12-01","Masih berlaku"
"Universitas Hasanuddin","Ilmu Kimia","S3","","7855/SK/BAN-PT/Akred/D/XII/2020","2020","A","2025-12-01","Masih berlaku"
"STAI Rasyidiyah Khalidiyah (RAKHA) Amuntai, Kalimantan Selatan","Pendidikan Agama Islam","S1","","7896/SK/BAN-PT/Akred/S/XII/2020","2020","B","2025-12-01","Masih berlaku"
