"0","1","2","3","4","5","6","7","8"
"Universitas Muslim Indonesia","Pendidikan Bahasa Inggris","S1","09","2609/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Negeri Malang","Biologi","S2","","2547/SK/BAN-PT/Akred/M/VII/2019","2019","B","2024-07-23","Masih berlaku"
"IAIN Bengkulu","Manajemen Dakwah","S1","","2544/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Islam Jakarta","Teknik Industri","S1","03","2576/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Sekolah Tinggi Ilmu Ekonomi Pancasetia","Akuntansi","S1","11","2550/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Politeknik Sawunggalih Aji","Teknik Informatika","D-III","06","2575/SK/BAN-PT/Akred/Dipl-III/VII/2019","2019","C","2024-07-23","Masih berlaku"
"STMIK Palangka Raya","Sistem Informasi","S1","11","2545/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"STMIK Likmi","Teknik Informatika","S1","04","2558/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Lampung","Ilmu Kelautan","S1","","2549/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"STMIK Parnaraya","Sistem Informasi","S1","16","2587/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Papua","Peternakan","S1","","2548/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Negeri Medan","Pendidikan Tata Busana","S1","","2612/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Padjadjaran","Ilmu Peternakan","S2","","2529/SK/BAN-PT/Akred/M/VII/2019","2019","A","2024-07-23","Masih berlaku"
"Universitas Islam Makassar","Agribisnis","S2","09","2611/SK/BAN-PT/Akred/M/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Sekolah Tinggi Ilmu Ekonomi AMA","Akuntansi","S1","06","2543/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Negeri Yogyakarta","Pendidikan Kimia","S2","","2530/SK/BAN-PT/Akred/M/VII/2019","2019","A","2024-07-23","Masih berlaku"
"Universitas Teuku Umar","Agribisnis","S1","","2542/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Institut Kesenian Jakarta - LPKJ","Seni Tari","S1","03","2621/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Sebelas Maret","Ekonomi Pembangunan","S1","","2523/SK/BAN-PT/Akred/S/VII/2019","2019","A","2024-07-23","Masih berlaku"
"Institut Teknologi Yogyakarta","Teknik Industri","S1","05","2590/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Institut Transportasi  Dan Logistik Trisakti","Logistik","S1","03","2618/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"IAIN Bengkulu","Ilmu Pendidikan Anak Usia Dini Islam","S2","","2619/SK/BAN-PT/Akred/M/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Singaperbangsa Karawang","Pendidikan Agama Islam","S2","","2539/SK/BAN-PT/Akred/M/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Politeknik Poliprofesi Medan","Manajemen Informatika","D-III","01","2605/SK/BAN-PT/Akred/Dipl-III/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Politeknik Kelautan Dan Perikanan Kupang","Mekanisasi Perikanan","D-III","","2588/SK/BAN-PT/Akred/Dipl-III/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Amikom Yogyakarta","Arsitektur","S1","05","2585/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Negeri Semarang","Pendidikan Ekonomi","S2","","2525/SK/BAN-PT/Akred/M/VII/2019","2019","A","2024-07-23","Masih berlaku"
"Universitas KH. A. Wahab Hasbullah","Agroekoteknologi","S1","07","2592/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Politeknik Bina Budaya Cipta","Akuntansi","D-III","04","2600/SK/BAN-PT/Akred/Dipl-III/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Institut Seni Budaya Indonesia Bandung","Seni Teater","S1","","2536/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Akademi Maritim Pembangunan Jakarta","Teknika","D-III","03","2620/SK/BAN-PT/Akred/Dipl-III/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Nusa Putra","Teknik Informatika","S1","04","2567/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Selamat Sri","Teknik Informatika","S1","06","2607/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Bengkulu","Pendidikan Nonformal","S1","","2537/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Muhammadiyah Tasikmalaya","Pendidikan Teknologi Informasi","S1","04","2570/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"STKIP Muhammadiyah Sungai Penuh","Pendidikan Bahasa Indonesia","S1","10","2595/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Negeri Malang","Pendidikan Pancasila Dan Kewarganegaraan","S2","","2559/SK/BAN-PT/Akred/M/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Palopo","Manajemen","S1","09","2551/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Institut Pesantren KH. Abdul Chalim Pacet Mojokerto","Hukum Keluarga Islam","S1","","2560/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Udayana","Industri Perjalanan Wisata","S1","","2531/SK/BAN-PT/Akred/S/VII/2019","2019","A","2024-07-23","Masih berlaku"
"Universitas Islam Raden Rahmat","Manajemen","S1","07","2615/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Politeknik Negeri Ambon","Akuntansi","D-III","","2561/SK/BAN-PT/Akred/Dipl-III/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Sekolah Tinggi Pariwisata Ars Internasional","Manajemen","S1","04","2566/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Wahidiyah","Teknik Mesin","S1","07","2603/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Indonesia","Kajian Kependudukan & Ketenagaan Kerja","S2","","2519/SK/BAN-PT/Akred/M/VII/2019","2019","A","2024-07-23","Masih berlaku"
"Universitas KH. A. Wahab Hasbullah","Agrobisnis","S1","07","2601/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
