"0","1","2","3","4","5","6","7","8"
"Institut Teknologi Sepuluh Nopember","Perencanaan Wilayah Dan Kota","S2","","11037/SK/BAN-PT/PB-PS/M/IX/2021","2021","Baik","2026-08-01","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Statistika Bisnis","D-IV","","11084/SK/BAN-PT/Akred/ST/IX/2021","2021","Baik","2026-09-28","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Sains Aktuaria","S1","","11864/SK/BAN-PT/Akred/S/X/2021","2021","Baik","2026-10-26","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Pangan","S1","","12037/SK/BAN-PT/PB-PS/S/X/2021","2021","Baik","2026-08-20","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Kelautan","S1","","12614/SK/BAN-PT/Ak-PPJ/S/XI/2021","2021","Unggul","2026-11-02","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Arsitektur","S1","","12847/SK/BAN-PT/Ak-PPJ/S/XII/2021","2021","A","2026-11-25","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Geomatika","S1","","12876/SK/BAN-PT/Ak-PPJ/S/XII/2021","2021","A","2026-11-25","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknologi Informasi","S1","","13971/SK/BAN-PT/Akred/S/XII/2021","2021","Baik Sekali","2026-12-29","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Kimia","S2","","55/SK/BAN-PT/Ak-PPJ/M/I/2022","2022","A","2026-10-21","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Statistika","S2","","375/SK/BAN-PT/Ak-PPJ/M/I/2022","2022","A","2026-12-02","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Desain Produk","S1","","355/SK/BAN-PT/Ak-PPJ/S/I/2022","2022","A","2026-09-03","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknologi Rekayasa Manufaktur","D-IV","","758/SK/BAN-PT/Ak-PKP/ST/II/2022","2022","Baik","2027-02-03","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Manajemen Teknologi","S3","","955/SK/BAN-PT/PB-PS/D/II/2022","2022","Baik","2026-10-21","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Lepas Pantai","S1","","914/SK/BAN-PT/PB-PS/S/II/2022","2022","Baik","2026-10-27","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Sistem Informasi","S3","","1110/SK/BAN-PT/PB-PS/D/II/2022","2022","Baik","2027-01-26","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Matematika","S3","","1183/SK/BAN-PT/Ak-PKP/D/II/2022","2022","Baik","2027-02-22","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Biologi","S2","","1254/SK/BAN-PT/Ak-PPJ/M/II/2022","2022","B","2027-02-02","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknologi Rekayasa Konstruksi Bangunan Air","D-IV","","1346/SK/BAN-PT/Ak-PKP/ST/III/2022","2022","Baik","2027-03-01","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Perkapalan","S1","","1527/SK/BAN-PT/Akred-Itnl/S/III/2022","2022","Unggul","2024-06-30","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Ilmu Teknik Elektro","S3","","1423/SK/BAN-PT/Akred-PMT/D/III/2022","2022","Unggul","2027-03-02","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Studi Pembangunan","S1","","1659/SK/BAN-PT/Ak-PKP/S/III/2022","2022","Baik","2027-03-15","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Sistem Informasi","S2","","1727/SK/BAN-PT/Ak-PPJ/M/III/2022","2022","B","2027-01-11","Masih berlaku"
